en,ar,mafr
meal,وجبة,wajba
meat,لحم,lhame
straight,مستقيم,nishane
square,مربع,mrabbaa
triangular,ثلاثي,mtallate
tastes,أذواق,douke
bitter,مرير- مر,marre
salty,مالح,malahe 
sour,حامض,hamade
oven,فرن,farrane
pepper,فلفل,flafla
plants,نباتات,nabate
pork,لحم خنزير,lhame dalhalloufe
salad,سلطة,slada
salt,ملح,malha
spicy,حار,harre
sweet,حلو,hlou
bad,سيئ,khayabe 
clean,نظيف,nki
dark,ظلام,mdallame
difficult,صعب,siibe
sandwich,شطيرة,sandwishe
soup,حساء,sauce
sugar,سكر,soukkare
supper,عشاء,laasha
turkey,ديك رومى,dike roumy
apple,تفاحة,taffaha
banana,موز,banane
dirty,قذر,khayabe 
dry,جاف,karem
easy,سهل,sahale
oranges,برتقال,limoune 
peaches,خوخ,khoukhe
peanut,الفول السوداني,kawkaw
pineapple,أناناس,ananasse
grapes,عنب,laanabe
empty,فارغ,khaoui
expensive,غالي,ghaly
foreign,أجنبي,albarrani
full,كامل,kamale
good,جيد,maziane
hard,صعب,siibe
heavy,ثقيل,tkile
inexpensive,غير مكلف,rkhisse
strawberries,فراولة,toute
vegetables,خضروات,lkhadra
carrot,جزر,khizzou
corn,ذرة,dra
cucumber,خيار,khiyare
garlic,ثوم,touma
light,ضوء,mdawi
local,محلي,baldi
new,جديد,jdide
noisy,صاخبة,bazzafe
old,قديم,kdime
powerful,قوي,kwi
quiet,هادئ,mhaddae
correct,صحيح,dbassahe
lettuce,خس,khasse
olives,زيتون,zitoune
onions,بصل,bsale
peppers,الفلفل,falfla
potatoes,البطاطس,batata
tomatoes,طماطم,matisha
slow,بطيء,tkile
soft,ناعم,rtabe
very,جدا,bazzafe
weak,ضعيف,diife
wet,رطب,rtabe
wrong,خاطئ,ghalate
Countries,البلدان,lbaldane 
hello,مرحبا,salm
young,شاب,aazri
quantities,كميات,lakdarre
few,قليل,klile
little,القليل,shwiya
many,كثير,bazzafe
much,كثيرا,bazzafe
part,جزء,tarfe
some,بعض,tarfe
a few,بضعة,shwiya
Australia,أستراليا,oustouraliya
Cambodia,كمبوديا,kombodje 
Canada,كندا,kanada
China,الصين,sine 
Egypt,مصر,missre
England,انكلترا,naglize
France,فرنسا,franssa
Germany,ألمانيا,almaniya
Greece,اليونان,younane 
bye,وداعا,beslama
congratulations,تهاني,bassaha
sorry,آسف,asife
really,حقا,bassahe 
a green tree,شجرة خضراء,shajra khdra
a tall building,مبنى طويل القامة,imara aliya 
a very old man,رجل كبير جدا,rajale  sharafe
the old red house,البيت القديم أحمر,bite hmare kdime
whole,كامل,koulshy
India,الهند,lhande
Indonesia,أندونيسيا,andounissiya
Italy,إيطاليا,taliane 
Japan,اليابان,japoune 
Mexico,المكسيك,meksike
Morocco,المغرب,magrebe
Peru,بيرو,pirou
Spain,إسبانيا,sbaniya
Thailand,تايلاند,taylande
USA,الولايات المتحدة الأمريكية,mirikane 
a very nice friend,صديق لطيف جدا,sahabe maziane 
I read a book sometimes,أقرأ كتابا احيانا,kanakra ktabe marra marra
I will never smoke,أنا لن ادخن ابدا,maamary nakmy 
are you alone?,هل أنت وحدك؟,rake bwahdake
my car,سيارتي,tomobilty
green car,سيارة خضراء,tomobil khadra
three cars,ثلاث سيارات,tlata tomobilate
Moroccan,العربية,aarbiya
Chinese,الصينية,siniya
English,الإنجليزية,nagliziya
French,الفرنسية,fransawiya
Greek,اليونانية,younaniya
Hebrew,العبرية,ihoudiya  
Hindi,الهندية,hindiya 
Italian,الإيطالي,italiya 
car garage,مرآب السيارات,lgarage datoumoubilate
outside the car,خارج السيارة,barra diyale  tomobila
my book,كتابي,ktabe diyaly
my books,كتبي,ktoube diyaly
our daughter,ابنتنا,bantna
our daughters,بناتنا,bnatna
I'm cold,انى اشعر بالبرودة,kanhasse balbarde
we're cold,نحن نشعر بالبرودة,kanhassou balbarde
his chickens,دجاجه,djaja
their chicken,دجاجهم,djaje diyalhoume
he is happy,انه سعيد,rashka lihe
Japanese,اليابانية,japoniya
Korean,الكورية,kordiya 
Latin,لاتينية,latiniya
Russian,الروسية,roussiya
Spanish,الأسبانية,spaniouliya
Days,أيام,lyamate
Monday, الاثنين,tnine 
Tuesday,الثلاثاء,tlate
Wednesday,الأربعاء,larbaae
she is happy,انها سعيدة,rashka liha
he is American,انه امريكى الجنسية,mmirikaniye
she is American,انها امريكية الجنسية,mirikaniya
I can accept that,يمكن أن أقبل هذا,yamkane ndire hadeshy
she added it,وأضافته,zadttou
we admit it,نحن نعترف بذلك,kanaatarfou bdake shy
they advised him,وأشاروا عليه,nashouhe 
I can agree with that,يمكنني أن أتفق مع هذا,yamkane ly nttafake maa hade shy
Thursday,الخميس,lakhmisse
Friday,الجمعة,jamaa
Saturday,السبت,sabte 
Sunday,الأحد,lhadde
time,مرة,marra
hour,ساعة,saa
minute,دقيقة,dkika
second,ثان,taniya
colors,الوان,louane 
she allows it,انها تسمح بذلك,douwzate dake shy
we announce it,نحن نعلن ذلك,kanaalane  dake shy
I can apologize,يمكنني أن أعتذر,yamke ly naatadare
she appears today,يبدو انها اليوم,wa kila  lyoume
they arranged that,لقد رتبوا ذلك,rahoume  wajdou 
I can arrive tomorrow,يمكنني أن اصل غدا,yatmakkane nawssale  ghadda
she can ask him,تستطيع أن تسأله,nkadrou nsawlouhe 
she attaches that,انها تعلق عليه,ktaalake  aalihe 
we attack them,نحن نهاجمهم,kanhajmouhoume
black,أسود,khale
blue,أزرق,zrake
brown,بني,kahwi
gray,رمادي,rmadi
green,أخضر,khdar
orange,برتقالي,limouni
red,أحمر,hmre
they avoid her,انهم يتجنبونها,kaybaadou aaliha 
I can bake it,يمكنني أن اخبزه,nakdare ngoullihe
she is like him,هي مثله,hiya bhalou 
we beat it, نحن نفوز عليه,hna hssane mannou
they became happy,أصبحوا سعداء,wallawe mzianine
I can begin that,يمكنني ان ابدا ذلك,nakdare  nabda  dake shy
we borrowed money,نحن اقترضنا المال,tsallafna  laflousse
they breathe air,هم يتنفسون الهواء,kayatnafssou lahwa
I can bring it,أستطيع ان اجلبه,nakdare njabdou
white,أبيض,biyad
yellow,أصفر,sfare
big,كبير,kbir
deep,عميق,gharake
long,طويل,twile
narrow,ضيق,mdayake
short,قصير,ksir
small,صغير,sghir
tall,طويل,twile
thick,سميك,ghlide
thin,رقيق,rkike
I can build that,استطيع ان ابنيه,nakdare nabnihe 
she buys food,انها تشتري الغذاء,katshry laghda
we calculate it,نحن نحسبه,kanhasbouhe
they carry it,انهم يحملونه,hazzinou 
they don't cheat,انهم لا يغشوا,makaykhafoushe
she chooses him,هى تختاره,katakhtarou
we close it,نحن نغلقه,kanghalfouhe 
wide,واسع,wasae
tastes,أذواق,douke
bitter,مرير- مر,marre
salty,مالح,malahe 
sour,حامض,hamade
spicy,حار,harre
sweet,حلو,hlou
bad,سيئ,khayabe 
he comes here,يأتي هنا,kayji hna 
I can compare that,يمكنني مقارنة هذا,nkadrou nkarnou dake shy
she competes with me,انها تتنافس معى,katnaffasse maaya 
we complain about it,نحن نشكو منه,kanatshakkawe mannou
they continued reading,لقد واصلوا القراءة,kammlou lakraya diyalhoume
he cried about that,لقد بكى بسبب ذلك,bka  mane dake shy
I can decide now,يمكنني أن تقرر الآن,nkadrou nkarerou daba 
she described it to me,لقد وصفت لى,wsafty liya  
we disagree about it,نختلف حول هذا الموضوع,kanaktalfou fhade shy  
they disappeared quickly,لقد اختفوا بسرعة,daghiya  mabanoushe 
I discovered that,اكتشفت أن,ktashafte 
clean,نظيف,nki
dark,ظلام,mdallame
difficult,صعب,siibe
dirty,قذر,khayabe 
dry,جاف,karem
easy,سهل,sahale
empty,فارغ,khaoui
she dislikes that,انها لا تحب أن,makatabghishe 
we do it,نحن نفعل ذلك,kandirou dake shy
they dream about it,يحلمون بذلك,kayhalmou bdake shy
he eats a lot,انه يأكل الكثير,kayakoule bazzafe
we enjoyed that,استمتعنا بذلك,aajabna  dake  shy
they entered here,دخلوا هنا,dakhlou hna 
he escaped that,هرب هو,hrabe 
I can explain that,أستطيع شرح ذلك,nakdare nfassare dake shy
expensive,غالي,ghaly
foreign,أجنبي,albarrani
full,كامل,kamale
good,جيد,maziane
hard,صعب,siibe
heavy,ثقيل,tkile
inexpensive,غير مكلف,rkhisse
light,ضوء,mdawi
local,محلي,baldi
new,جديد,jdide
she feels that too,تشعر أنها أيضا,hatta  hiya kathasse 
we fled from there,هربنا من هناك,hrabna mane tammake
they will fly tomorrow,سوف يطير غدا,ghady itire ghadda
I can follow you,يمكنني أن اتبعكم,nakdare  ntbaakoume
we forgive him,نحنن نغفر له,smahna lihe 
I can give her that,يمكن أن أعطيها ذك,yamkane naatiha dake shy
she goes there,تذهب هناك,tamshy ltammake 
we greeted them,نحن حياناهم,sallamna  aalihoume
I hate that,أكرهه,makanabghishe  dake  shy
noisy,صاخبة,bazzafe
old,قديم,kdime
powerful,قوي,kwi
quiet,هادئ,mhaddae
correct,صحيح,dbassahe
I can hear it,يمكنني أن اسمعه,nakdare nsamaou 
she imagine that,هى تتصور ذلك,katsawarre dake shy
we invited them,نحن دعوناهم,diaainahoume
I know him,أنا أعرفه,kanaarfou
she learned it,تعلمت أنه,aarafte aalihe 
we leave now,نرحل الآن,namshiwe  daba
they lied about him,كذبوا عنه,kadbou aalihe 
I can listen to that,أستطيع الاستماع إلي ذلك,nakdare nasmaa dake shy
she lost that,انها خسرت,khassrate
we made it yesterday,لقد فعلناها بالامس,darnaha lbarahe 
slow,بطيء,tkile
soft,ناعم,rtabe
very,جدا,bazzafe
weak,ضعيف,diife
wet,رطب,rtabe
wrong,خاطئ,ghalate
young,شاب,aazri
food,غذاء,makla
they met him,لقد قابلوه,tlakawe maahe 
I always pray,أصلي دائما,kanssally dima
she prefers that,انها تفضل ذلك,katfaddale  dake shy
we protected them,لقد حميناهم,hdinahoume 
they will punish her,سوف يعاقبوها,ghady iaakbouha
I can put it there, أستطيع وضعه هناك,nakdare ndirou tammake
she will read it,انها سوف تقرأه,ghady  takrahe 
we received that,تلقينا ذلك,wsalna  dake  shy
they refuse to talk,رفضوا التحدث,mabghawshe ihadrou 
almonds,لوز,louze
bread,خبز,khbaze
breakfast,إفطار,laftoure
butter,زبدة,zabda
candy,حلوى,halwa
cheese,جبن,jbane
chicken,دجاج,tdjaje
cumin,كمون,kammoune 
dessert,حلوى,halwa
dinner,عشاء,laasha
fish,سمك,lhoute
fruit,فاكهة,fakiha
I remember that,أتذكرها,tfakkartha
she repeats that,انها تكرر ذلك,kataawade dake shy
we see it,نراه,kanshoufouhe
they sell it,هم يبيعوه,kaybiaouhe
I sent that yesterday,أرسلت ذلك بالأمس,sifate dake shy lbarahe 
he shaved his beard,انه حلق لحيته,hassane  lahiya  diyalou
they sat there,جلسوا هناك,galssou hna 
ice cream,الآيس كريم,laglace
lamb,خروف,khroufe
lemon,ليمون,limoune 
lunch,غداء,laghda
meal,وجبة,wajba
meat,لحم,lhame
oven,فرن,farrane
pepper,فلفل,flafla
plants,نباتات,nabate
I can speak it, أستطيع التحدث بها,nakdare nahdare biha 
she spends money,إنها تنفق المال,katasrafe laflousse
we suffered from that,عانينا منه,aayana 
they suggest that,فهي توحي أنها,katbane  bhale ila
I surprised him,فاجئته,fajaatou
she took that,لقد اخذت هذا,khdite  dake shy
we teach it,نحن ندرسه,kandarssouhe  
they told us,قالوا لنا,galou  anaha
pork,لحم خنزير,lhame dalhalloufe
salad,سلطة,slada
salt,ملح,malha
sandwich,شطيرة,sandwishe
soup,حساء,sauce
sugar,سكر,soukkare
supper,عشاء,laasha
turkey,ديك رومى,dike roumy
apple,تفاحة,taffaha
she thanked him,انها شكرته,shakratou 
I can think about it, أستطيع التفكير في الامر,nakdarre nfakkare  fdake shy
she threw it, إنها رمته,rmatou
we understand that,نحن نفهم ذلك,kanatfahmou dake shy
they want that,هم يريدون ذلك,kayabghiwe  dake  shy
I can wear it,استطيع ان ارتديه,nakdare nlabssou
she writes that, انها تكتب ذلك,kataktabe  dake shy
we talk about it,نتحدث عن ذلك,kanhadrou aala  dake  shy
they have it,انه لديهم ,rahe  aandhoume
I watched it,شاهدت ذلك,shafte  dake  shy
banana,موز,banane
oranges,برتقال,limoune 
peaches,خوخ,khoukhe
peanut,الفول السوداني,kawkaw
pineapple,أناناس,ananasse
grapes,عنب,laanabe
strawberries,فراولة,toute
vegetables,خضروات,lkhadra
carrot,جزر,khizzou
I will talk about it,ساتكلم عن هذا,ghady nahdarre  aala  dake  shy
he bought that yesterday,اشترى هذا بالامس ,nashry dike  lkaswa
we finished it,انتهينا ذلك,kammalna  dake  shy 
inside the house,داخل المنزل,faddare
outside the car,خارج السيارة,barra  siyara
with me,معي,maaya
without him,بدونه,bla bihe 
under the table,تحت الطاولة,tahte  tabla
corn,ذرة,dra
cucumber,خيار,khiyare
garlic,ثوم,touma
lettuce,خس,khasse
olives,زيتون,zitoune
onions,بصل,bsale
peppers,الفلفل,falfla
potatoes,البطاطس,batata
after tomorrow,بعد غد,baade  ghadda
before sunset,قبل الغروب,kbale  lghouroube 
but I'm busy,ولكن أنا مشغول,walakine  mashgouke 
he is not here,انه ليس هنا,makayanshe hna
that is not my book,هذا ليس كتابي,hada mashy ktaby 
do not enter,لا تدخل,madkhoulshe
where is he?,أين هو؟,fine rahe
what is this?,ما هذا ؟,washe  hadeshy
why are you sad?,لماذا أنت حزين؟,aalashe nta tayra like
how do you want to pay?,كيف تريد الدفع؟,kifashe  bghity tkhallasse
tomatoes,طماطم,matisha
alligator,تمساح إستوائي,timsahe
alligators,تماسيح,tmassahe
bear,دب,doupe
bears,دببة,douppa
can I come?,هل يمكن ان آتى؟,takdare  tji??
is he sleeping?,هل هو نائم؟,washe rahe naasse??
do you know me?,هل تعرفني؟,washe kataarafny
do you have my book?,هل لديك كتابي؟,washe rahe aandake ktaby
how big is it?,ما مدى كبر هذا؟,shhale kbire  dake shy??
can I help you?,هل يمكننى مساعدتك؟,washe nakdare naaawnake  ??
can you help me?,هل يمكنك مساعدتي؟,washe takdarre  taawanny??
do you speak English?,هل تتكلم الانجليزية؟,washe  katkallame  nagliziya??
how far is this?,ما مدى بعد هذا؟,shale baaide  dake shy??
bird,طائر,tir
birds,طيور,tiour
bull,ثور,tour
bulls,ثيران,tirane
cat,قط,mashe
cats,قطط,msousha
cow,بقرة,bagra
cows,أبقار,bgar
deer,أيل,jmal
many deer,الغزلان,ghzala
what time is it?,ما هو الوقت؟,shhale  dalwakte
how much is this?,كم ثمن هذا؟,shhale lhadashy??
what is your name?,ما هو اسمك؟,ashnou smiytake??
where do you live?,أين تعيش؟,fine kataaishe ??
dog,كلب,kalbe
dogs,كلاب,klabe
donkey,حمار,hmar
donkeys,حمير,hmir
eagle,نسر,nssare
eagles,نسور,nsoura
elephant,فيل,fil
elephants,فيلة,fiyoula
giraffe,زرافة,zarfa
giraffes,زرافات,zarafate
goat,ماعز,maaze
goats,ماعز,lamaaze
horse,حصان,khile
horses,خيل,khioula
lion,أسد,sbae
lions,أسود,sboua
monkey,قرد,karde
monkeys,قرود,krouda
mouse,فأر,far
mice,فئران,firane
rabbit,أرنب,kniya
rabbits,أرانب,kniyate
snake,ثعبان,hnashe
snakes,ثعابين,hnousha
tiger,نمر,nmar
tigers,نمور,nmoura
wolf,ذئب,dipe
wolves,ذئاب,diyouba
bathroom,حمام,hammame
bed,سرير,namoussiya
bedroom,غرفة نوم,bite naasse
ceiling,سقف,skafe
chair,كرسي,koussi
clothes,ملابس,lbasse
coat,معطف,vista
cup,كوب,kasse
desk,مكتب,maktabe
dress,ثوب,toube
floor,طابق,tabssile
fork,شوكة,bra
furniture,أثاث,hwayaje
glass,زجاج,jaje
hat,قبعة,tarboushe
house,منزل,dar
ink,حبر,mdade
jacket,سترة,satra
kitchen,مطبخ,kousina
knife,سكين,mousse
lamp,مصباح,boula
letter,رسالة,briya
map,خريطة,kharita
newspaper,صحيفة,jarnane
pants,بنطلون,sarwale
paper,ورقة,warka
pen,قلم,klame
pencil,قلم رصاص,kriyou
pharmacy,صيدلية,farmacienne
picture,صورة,taswira
plate,طبق,tabssile  
refrigerator,ثلاجة,tallaja
roof,سطح,stahe
room,غرفة,bite     
rug,سجادة,sajada
scissors,مقص,mkasse
shampoo,شامبو,shampouane
shirt,قميص,camisse
shoes,حذاء,sabbate
soap,صابون,saboune 
socks,جورب,tkashare
spoon,ملعقة,mgharfa
table,طاولة,tabla
toilet,مرحاض,mirhade
toothpaste,معجون أسنان,maajoune  asnane
towel,منشفة,ponja
umbrella,مظلة,mdalle
wall,حائط,hite
wallet,محفظة,shkara
window,نافذة,sarjame
telephone,هاتف,tilifoune
this,هذا,hadike
that,أن,hdake
these,هؤلاء,hadouke
those,هؤلاء,hadouke
how?,كيف؟,kifashe
what?,ماذا؟,ashnou
who?,من؟,skoune 
why?,لماذا؟,aalashe
where?,أين؟,fine 
art,فن,fanne 
bank,مصرف,banka
beach,شاطئ,shatte
book,كتاب,ktabe
by bicycle,بواسطة دراجة,belbissaklyte
by bus,بالحافلة,btoubisse
by car,بالسيارة,batoumobile
by train,بالقطار,btrain 
cafe,مقهى,kahwa
country,بلد,blade
desert,صحراء,sahra
dictionary,قاموس,mounjide
earth,أرض,arde
flowers,الزهور,lwarde
football,كرة القدم,kourra
forest,غابة,ghaba 
game,لعبة,louaaba
garden,حديقة,jnane
geography,جغرافية,jougrafiya
history,تاريخ,tarikhe
house,منزل,darre
island,جزيرة,jazira
lake,بحيرة,bouhaira
library,مكتبة,maktaba
math,الرياضيات,lmath
moon,القمر,shharre
mountain,جبل,jbale
movies,أفلام,laflame
music,موسيقى,lammassake
office,مكتب,maktabe
on foot,سيرا على الأقدام,brajline 
player,لاعب,laabe
river,نهر,wade
science,علم,ilme
sea,بحر,bharre
sky,سماء,sma
soccer,كرة القدم,koura
stars,النجوم,njoume
supermarket,سوبر ماركت,marshé
swimming pool,حمام السباحة,picine
theater,مسرح,masrahe 
tree,شجرة,shajra
bad weather,سوء الأحوال الجوية,ljawe khayabe 
cloudy,غائم,mghayame
cold,بارد,barade
cool,بارد,barade
foggy,ضبابي,mdabbabe
hot,حار,skhoune 
nice weather,الطقس لطيف,bikhire
pouring,صب,tahate 
rain,مطر,shta
raining,تمطر,katihe shta
snow,ثلج,talje
snowing,ينزل الثلج,kaytihe  talje
sunny,مشمس,mashamasse
spring,الربيع,rbie
summer,الصيف,sife
autumn, الخريف,lakhrife
winter,الشتاء,shta
people,الناس,nasse
aunt,عمة,aamty
baby,طفل,darry 
brother,شقيق,al akhe 
cousin,ابن عم,bane  aamy
daughter,ابنة,bante
dentist,طبيب أسنان,tbibe  dasnane 
doctor,الطبيب,tbibe    
father,الأب,alabe 
father,الأب,l'bo
father,الأب,bba
grandfather,جد,jadde
grandmother,جدة,jadda
husband,زوج,zawja
mother,والدة,aloumme
nephew,ابن أخ,walde al akhe
niece,ابنة,binte
nurse,ممرضة,farmliya
policeman,الشرطي,boulissiy
postman,ساعي البريد,factour
professor,أستاذ,oustade
teacher,معلم,mouaalime
teacher,معلم,mou3alime
uncle,عم,ame
wife,زوجة,zawja
